序号,链接,标题,匹配语料
1,https://tass.ru/ekonomika/26022731,"""Авито"": ноутбуки популярных брендов за год подешевели на 6-8%26 декабря 2025","Устройства от Apple показали рост на 14%, Huawei - на 6%."
2,https://tass.ru/ekonomika/26022731,"""Авито"": ноутбуки популярных брендов за год подешевели на 6-8%26 декабря 2025","рублей, у Huawei - на 15% (до 29 тыс."
3,https://tass.ru/obschestvo/26002383,Опрошенные россияне хотели бы получить на Новый год технику24 декабря 2025,"35% и 32% уверены в китайской и южнокорейской технике в качестве своего подарка - бренды Xiaomi, Huawei, Realme, Samsung или LG."
4,https://tass.ru/ekonomika/25934013,The Globe and Mail: Канада хочет наладить отношения с КНР для экспорта минералов17 декабря 2025,"Отношения Оттавы и Пекина резко испортились в 2018 году, когда в Ванкувере была задержана финансовый директор компании Huawei Мэн Ваньчжоу, которой грозила депортация в США по обвинению в мошенничестве и нарушении американских антииранских санкций."
5,https://tass.ru/ekonomika/25933621,Yonhap: партию складывающегося втрое смартфона Samsung распродали за две минуты17 декабря 2025,"Китайская компания Huawei выпустила первый в мире смартфон с такой конструкцией - Huawei Mate XT - в сентябре 2024 года, но он стоил дороже."
6,https://tass.ru/ekonomika/25926833,ТАСС: выпуск складывающегося втрое Samsung под вопросом из-за низкой прибыли16 декабря 2025,"Китайская компания Huawei выпустила первый в мире смартфон со складывающимся втрое экраном - Huawei Mate XT - в сентябре 2024 года, но он стоит дороже."
7,https://tass.ru/ekonomika/25896875,В Южной Корее за пять минут раскупили партию складывающихся смартфонов Samsung12 декабря 2025,"Китайская компания Huawei выпустила свой смартфон со складывающимся втрое экраном - Huawei Mate XT - в сентябре 2024 года, но он стоит дороже."
8,https://tass.ru/ekonomika/25787077,Samsung представил свой первый складывающийся втрое смартфон02 декабря 2025,Китайская компания Huawei выпустила свой смартфон со складывающимся втрое экраном - Huawei Mate XT - в сентябре 2024 года.
9,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"© Пресс-служба HUAWEI А если у вашего устройства стала подводить батарея, ее можно заменить на новую по специальной цене от 1999 рублей."
10,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,© Пресс-служба HUAWEI Ориентировочное время диагностики и ремонта — три рабочих дня.
11,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"Бесплатный ремонт Если с вашим планшетом, телефоном, ноутбуком, наушниками, умными часами или каким-то другим гаджетом HUAWEI что-то случилось, отдайте его в один из авторизованных сервисных центров."
12,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"О новых возможностях сервисного обслуживания читайте в материале ТАСС Редакция сайта ТАСС 01 декабря 2025, 12:18 © Пресс-служба HUAWEI Сколько вы знаете времен года?"
13,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,А вот владельцы устройств HUAWEI получают именно такой сервис.
14,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"© Пресс-служба HUAWEI Кстати, девайс не обязательно должен быть неисправен."
15,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,Для надежной защиты устройства клиентам доступна программа HUAWEI Care.
16,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"Подводя итог, можно сказать, что для владельцев устройств HUAWEI Новый год наступит на целых два месяца раньше, чем это случится по календарям."
17,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"ООО ""Техкомпания Хуавэй"", ИНН 7714186804​, erid: 2SDnjcyq8d5 © Информационное агентство ТАСС Свидетельство о регистрации СМИ №03247 выдано 02 апреля 1999 г."
18,https://tass.ru/obschestvo/25764429,Сезон выгодного сервиса: как подарить новогоднее настроение себе и своему смартфону HUAWEI01 декабря 2025,"В это время обладатели гаджетов HUAWEI могут воспользоваться целым набором услуг, чтобы со скидкой или даже бесплатно обновить, починить да и просто украсить свои девайсы в авторизованных сервисных центрах (АСЦ)."
19,https://tass.ru/obschestvo/25724215,"Данные ""Радар. НФ"" были полезны при отражении атаки БПЛА в ночь на 25 ноября25 ноября 2025","Оно доступно для пользователей операционной системы Android в магазине RuStore, а также в AppGallery для устройств Huawei."
20,https://tass.ru/obschestvo/25724267,"Приложение для отслеживания БПЛА ""Радар.НФ"" скачали уже более 2 млн россиян25 ноября 2025","НФ"" доступен для пользователей операционной системы Android в магазине RuStore, а также в AppGallery для устройств Huawei."
21,https://tass.ru/ekonomika/25721899,Huawei выпустила линейку смартфонов Mate80 с функцией 3D-распознавания лица25 ноября 2025,Китайская компания Huawei представила флагманскую линейку смартфонов Mate80 с функцией трехмерного распознавания лица.
22,https://tass.ru/ekonomika/25721899,Huawei выпустила линейку смартфонов Mate80 с функцией 3D-распознавания лица25 ноября 2025,Это позволит пользователям безопасно входить в свою учетную запись Huawei и производить оплату сканированием лица.
23,https://tass.ru/sport/25644799,СтатьяЗдоровье и фитнес-приложение19 ноября 2025,"По итогам исследования самым удобным признано приложение Huawei Health, у которого удобный интерфейс и наглядная информация по всем показателям."
24,https://tass.ru/ekonomika/25646127,SCMP: ЕС и Китай могут договориться об экспорте чипов и редкоземельных металлов17 ноября 2025,Также ЕС планирует ввести ограничения для китайской компании Huawei.
25,https://tass.ru/ekonomika/25613491,CNN: торговая война Трампа с Канадой подталкивает Оттаву к сближению с Пекином13 ноября 2025,"Отношения Оттавы и Пекина резко испортились в 2018 году, когда в Ванкувере была задержана финансовый директор компании Huawei Мэн Ваньчжоу, которой грозила депортация в США по обвинению в мошенничестве и нарушении американских антииранских санкций."
26,https://tass.ru/ekonomika/25608123,Yonhap: Samsung выпустит складывающийся втрое смартфон в декабре12 ноября 2025,Китайская компания Huawei выпустила свой смартфон со складывающимся втрое экраном - Huawei Mate XT - в сентябре 2024 года.
